"","Entry","X2","X","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage"
"11","A2AVA0","lcl|NW_011934601.1_cds_XP_019928729.1_271",95,"SVEP1_MOUSE","reviewed","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)","Svep1","Mus musculus (Mouse)",3567,"TISSUE SPECIFICITY: Present in stromal osteogenic cells. Expressed at much higher level in stromal osteogenic cells at low density compared to cells grown at higher densities (at protein level). Highly expressed in lung and placenta. Also expressed in bone and periosteum, but not in cartilage and skeletal muscle. Weakly or not expressed in other tissues. {ECO:0000269|PubMed:11062057, ECO:0000269|PubMed:16206243}.","","DEVELOPMENTAL STAGE: Expressed from 11 dpc to 17 dpc in embryos. {ECO:0000269|PubMed:11062057}."
"12","A4FUY7","lcl|NW_011934501.1_cds_XP_011434216.1_2",2,"MOC2B_BOVIN","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Bos taurus (Bovine)",189,"","",""
"13","A4FUY7","lcl|NW_011934501.1_cds_XP_011426503.1_1",2,"MOC2B_BOVIN","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Bos taurus (Bovine)",189,"","",""
"14","A6H7H1","lcl|NW_011934575.1_cds_XP_011433717.1_139",180,"F120A_BOVIN","reviewed","Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)","FAM120A OSSA","Bos taurus (Bovine)",1114,"","",""
"15","A8X482","lcl|NW_011934577.1_cds_XP_011434218.1_140",187,"ZPT72_CAEBR","reviewed","Zinc transporter zipt-7.2 (Histidine-rich membrane protein KE4 homolog 2)","zipt-7.2 hke-4.2 CBG07716","Caenorhabditis briggsae",476,"","",""
"16","B0BN95","lcl|NW_011934586.1_cds_XP_011437737.1_163",61,"HARB1_RAT","reviewed","Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)","Harbi1","Rattus norvegicus (Rat)",349,"","",""
"17","B3DJT0","lcl|NW_011934558.1_cds_XP_011427644.1_90",135,"SART3_DANRE","reviewed","Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3)","sart3 egy si:ch211-191d15.4 wu:fc51h03","Danio rerio (Zebrafish) (Brachydanio rerio)",951,"","",""
"18","B3DJT0","lcl|NW_011934558.1_cds_XP_011427644.1_90",135,"SART3_DANRE","reviewed","Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3)","sart3 egy si:ch211-191d15.4 wu:fc51h03","Danio rerio (Zebrafish) (Brachydanio rerio)",951,"","",""
"19","B3EWZ3","lcl|NW_011934589.1_cds_XP_011441056.1_199",73,"CADN_ACRMI","reviewed","Coadhesin (Fragment)","","Acropora millepora (Staghorn coral) (Heteropora millepora)",1675,"TISSUE SPECIFICITY: Component of the acid-insoluble and acid-soluble organic matrix of the aragonitic skeleton (at protein level). {ECO:0000269|PubMed:23765379}.","",""
"20","B3EWZ3","lcl|NW_011934589.1_cds_XP_011441056.1_199",73,"CADN_ACRMI","reviewed","Coadhesin (Fragment)","","Acropora millepora (Staghorn coral) (Heteropora millepora)",1675,"TISSUE SPECIFICITY: Component of the acid-insoluble and acid-soluble organic matrix of the aragonitic skeleton (at protein level). {ECO:0000269|PubMed:23765379}.","",""
"21","B3EWZ3","lcl|NW_011934589.1_cds_XP_011441056.1_199",73,"CADN_ACRMI","reviewed","Coadhesin (Fragment)","","Acropora millepora (Staghorn coral) (Heteropora millepora)",1675,"TISSUE SPECIFICITY: Component of the acid-insoluble and acid-soluble organic matrix of the aragonitic skeleton (at protein level). {ECO:0000269|PubMed:23765379}.","",""
"22","B3EWZ3","lcl|NW_011934589.1_cds_XP_011441056.1_199",73,"CADN_ACRMI","reviewed","Coadhesin (Fragment)","","Acropora millepora (Staghorn coral) (Heteropora millepora)",1675,"TISSUE SPECIFICITY: Component of the acid-insoluble and acid-soluble organic matrix of the aragonitic skeleton (at protein level). {ECO:0000269|PubMed:23765379}.","",""
"23","B3EWZ3","lcl|NW_011934589.1_cds_XP_011441056.1_199",73,"CADN_ACRMI","reviewed","Coadhesin (Fragment)","","Acropora millepora (Staghorn coral) (Heteropora millepora)",1675,"TISSUE SPECIFICITY: Component of the acid-insoluble and acid-soluble organic matrix of the aragonitic skeleton (at protein level). {ECO:0000269|PubMed:23765379}.","",""
"24","B3EWZ3","lcl|NW_011934589.1_cds_XP_011441056.1_199",73,"CADN_ACRMI","reviewed","Coadhesin (Fragment)","","Acropora millepora (Staghorn coral) (Heteropora millepora)",1675,"TISSUE SPECIFICITY: Component of the acid-insoluble and acid-soluble organic matrix of the aragonitic skeleton (at protein level). {ECO:0000269|PubMed:23765379}.","",""
"25","C0HK23","lcl|NW_011934530.1_cds_XP_011440784.1_24",57,"SML_SCONI","reviewed","L-rhamnose-binding lectin SML","","Scomberomorus niphonius (Japanese Spanish mackerel) (Cybium niphonium)",201,"","",""
"26","C0HK23","lcl|NW_011934530.1_cds_XP_011441541.1_23",57,"SML_SCONI","reviewed","L-rhamnose-binding lectin SML","","Scomberomorus niphonius (Japanese Spanish mackerel) (Cybium niphonium)",201,"","",""
"27","C0HK24","lcl|NW_011934530.1_cds_XP_011440784.1_24",58,"ELEL_ECHLU","reviewed","L-rhamnose-binding lectin ELEL-1","","Echinometra lucunter (Rock-boring urchin)",103,"","",""
"28","C0HK24","lcl|NW_011934530.1_cds_XP_011441541.1_23",58,"ELEL_ECHLU","reviewed","L-rhamnose-binding lectin ELEL-1","","Echinometra lucunter (Rock-boring urchin)",103,"","",""
"29","C0HL12","lcl|NW_011934606.1_cds_XP_011450532.1_279",101,"AGRB1_RAT","reviewed","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-120 (Vstat120); Vasculostatin-40 (Vstat-40)]","Adgrb1 Bai1","Rattus norvegicus (Rat)",1577,"","",""
"30","C4L690","lcl|NW_011934512.1_cds_XP_011426108.1_6",15,"GATA_EXISA","reviewed","Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)","gatA EAT1b_0993","Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)",480,"","",""
"31","C8BKC7","lcl|NW_011934612.1_cds_XP_011453081.1_300",105,"MYD88_SHEEP","reviewed","Myeloid differentiation primary response protein MyD88","MYD88","Ovis aries (Sheep)",296,"TISSUE SPECIFICITY: Detecetd in mesenteric lymph node, prescapular lymph node, lymphocytes, lung, kidney, skin and urinary bladder. {ECO:0000269|PubMed:17604125}.","",""
"32","E9Q4F2","lcl|NW_011934612.1_cds_XP_011453584.1_303",107,"KLH18_MOUSE","reviewed","Kelch-like protein 18","Klhl18","Mus musculus (Mouse)",574,"TISSUE SPECIFICITY: Predominantly expressed in maturing and mature retinal photoreceptor cells. {ECO:0000269|PubMed:31696965}.","",""
"33","F1LTE0","lcl|NW_011934520.1_cds_XP_011429578.1_13",33,"TANC2_RAT","reviewed","Protein TANC2","Tanc2","Rattus norvegicus (Rat)",1992,"","",""
"34","F1M391","lcl|NW_011934560.1_cds_XP_011429536.2_96",144,"STING_RAT","reviewed","Stimulator of interferon genes protein (rSTING) (Transmembrane protein 173)","Sting1 Tmem173","Rattus norvegicus (Rat)",379,"","",""
"35","F1MBP6","lcl|NW_011934589.1_cds_XP_011441284.1_201",74,"KLHL3_BOVIN","reviewed","Kelch-like protein 3","KLHL3","Bos taurus (Bovine)",587,"","",""
"36","F1NQJ3","lcl|NW_011934574.1_cds_XP_019924487.1_135",165,"PMS2_CHICK","reviewed","Mismatch repair endonuclease PMS2 (EC 3.1.-.-) (DNA mismatch repair protein PMS2) (PMS1 protein homolog 2)","PMS2","Gallus gallus (Chicken)",869,"","",""
"37","H9BW96","lcl|NW_011934575.1_cds_XP_011433497.1_137",169,"RAB7_EPICO","reviewed","Ras-related protein rab7","rab7","Epinephelus coioides (Orange-spotted grouper) (Epinephelus nebulosus)",207,"TISSUE SPECIFICITY: Ubiquitously expressed. Expressed in liver, spleen, kidney, brain, intestine, heart, skin, muscle, gill and stomach. {ECO:0000269|PubMed:24161772}.","INDUCTION: (Microbial infection) Down-regulated at 6 hours post infection, and then up-regulated until 48 hours post infection in spleen cells in response to Singapore grouper iridovirus (SGIV) infection. {ECO:0000269|PubMed:24161772}.",""
"38","O00399","lcl|NW_011934603.1_cds_XP_011449554.1_273",96,"DCTN6_HUMAN","reviewed","Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)","DCTN6 WS3","Homo sapiens (Human)",190,"TISSUE SPECIFICITY: Ubiquitous.","",""
"39","O00602","lcl|NW_011934514.1_cds_XP_011427256.2_7",20,"FCN1_HUMAN","reviewed","Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)","FCN1 FCNM","Homo sapiens (Human)",326,"TISSUE SPECIFICITY: Peripheral blood leukocytes, monocytes and granulocytes. Also detected in spleen, lung, and thymus, may be due to the presence of tissue macrophages or trapped blood in these tissues. Not detected on lymphocytes. {ECO:0000269|PubMed:20400674}.","",""
"40","O43301","lcl|NW_011934520.1_cds_XP_011430737.1_12",27,"HS12A_HUMAN","reviewed","Heat shock 70 kDa protein 12A","HSPA12A KIAA0417","Homo sapiens (Human)",675,"TISSUE SPECIFICITY: Widely expressed with highest levels in brain, kidney and muscle. {ECO:0000269|PubMed:12552099}.","",""
"41","O73853","lcl|NW_011934586.1_cds_XP_011437425.1_166",64,"CP17A_ICTPU","reviewed","Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)","cyp17a1 cyp17","Ictalurus punctatus (Channel catfish) (Silurus punctatus)",514,"","",""
"42","O75095","lcl|NW_011934559.1_cds_XP_019923135.1_93",142,"MEGF6_HUMAN","reviewed","Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)","MEGF6 EGFL3 KIAA0815","Homo sapiens (Human)",1541,"","",""
"43","O75095","lcl|NW_011934559.1_cds_XP_019923135.1_93",142,"MEGF6_HUMAN","reviewed","Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)","MEGF6 EGFL3 KIAA0815","Homo sapiens (Human)",1541,"","",""
"44","O75376",NA,114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"45","O75376","lcl|NW_011934558.1_cds_XP_011426427.1_75",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"46","O75376","lcl|NW_011934558.1_cds_XP_011426109.1_81",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"47","O75376","lcl|NW_011934558.1_cds_XP_011426109.1_81",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"48","O75376","lcl|NW_011934558.1_cds_XP_011426504.1_76",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"49","O75376","lcl|NW_011934558.1_cds_XP_011426803.1_82",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"50","O75376","lcl|NW_011934558.1_cds_XP_011426803.1_82",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"51","O75376","lcl|NW_011934558.1_cds_XP_011426504.1_76",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"52","O75376","lcl|NW_011934558.1_cds_XP_011426189.1_79",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"53","O75376","lcl|NW_011934558.1_cds_XP_011426269.1_78",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
"54","O75376","lcl|NW_011934558.1_cds_XP_011426352.1_77",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","",""
