"","X2","X.1","Entry","X","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage","V2"
"38","lcl|NW_011934516.1_cds_XP_019923670.1_10",328,"Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"39","lcl|NW_011934516.1_cds_XP_019923670.1_10",325,"Q63060",23,"GLPK_RAT","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP-stimulated glucocorticoid-receptor translocation promoter) (ASTP) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Rattus norvegicus (Rat)",524,"","","","LOC105328737"
"40","lcl|NW_011934516.1_cds_XP_019923670.1_10",219,"Q0IID9",22,"GLPK_BOVIN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Bos taurus (Bovine)",559,"","","","LOC105328737"
"41","lcl|NW_011934516.1_cds_XP_019923891.1_11",230,"Q14409",25,"GLPK3_HUMAN","reviewed","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)","GK3P GKP3 GKTB","Homo sapiens (Human)",553,"","","","LOC105328737"
"42","lcl|NW_011934516.1_cds_XP_019923891.1_11",329,"Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"43","lcl|NW_011934516.1_cds_XP_019923891.1_11",251,"Q21944",21,"GLPK_CAEEL","reviewed","Probable glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","R11F4.1","Caenorhabditis elegans",502,"","","","LOC105328737"
"44","lcl|NW_011934516.1_cds_XP_019923891.1_11",231,"Q14409",25,"GLPK3_HUMAN","reviewed","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)","GK3P GKP3 GKTB","Homo sapiens (Human)",553,"","","","LOC105328737"
"45","lcl|NW_011934516.1_cds_XP_019923891.1_11",221,"Q0IID9",22,"GLPK_BOVIN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Bos taurus (Bovine)",559,"","","","LOC105328737"
"46","lcl|NW_011934516.1_cds_XP_019923891.1_11",118,"P32189",26,"GLPK_HUMAN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Homo sapiens (Human)",559,"TISSUE SPECIFICITY: Highly expressed in the liver, kidney and testis. Isoform 2 and isoform 3 are expressed specifically in testis and fetal liver, but not in the adult liver.","","","LOC105328737"
"47","lcl|NW_011934516.1_cds_XP_019923891.1_11",217,"Q0IID9",22,"GLPK_BOVIN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Bos taurus (Bovine)",559,"","","","LOC105328737"
"48","lcl|NW_011934516.1_cds_XP_019923891.1_11",250,"Q21944",21,"GLPK_CAEEL","reviewed","Probable glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","R11F4.1","Caenorhabditis elegans",502,"","","","LOC105328737"
"49","lcl|NW_011934516.1_cds_XP_019923891.1_11",119,"P32189",26,"GLPK_HUMAN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Homo sapiens (Human)",559,"TISSUE SPECIFICITY: Highly expressed in the liver, kidney and testis. Isoform 2 and isoform 3 are expressed specifically in testis and fetal liver, but not in the adult liver.","","","LOC105328737"
"50","lcl|NW_011934516.1_cds_XP_019923891.1_11",331,"Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"51","lcl|NW_011934520.1_cds_XP_011429578.1_13",1,"A2A690",32,"TANC2_MOUSE","reviewed","Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)","Tanc2 Kiaa1148","Mus musculus (Mouse)",1994,"","","","LOC105329584"
"52","lcl|NW_011934520.1_cds_XP_011429578.1_13",435,"Q9HCD6",31,"TANC2_HUMAN","reviewed","Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)","TANC2 KIAA1148 KIAA1636","Homo sapiens (Human)",1990,"","","","LOC105329584"
"53","lcl|NW_011934520.1_cds_XP_011429578.1_13",33,"F1LTE0",33,"TANC2_RAT","reviewed","Protein TANC2","Tanc2","Rattus norvegicus (Rat)",1992,"","","","LOC105329584"
"54","lcl|NW_011934520.1_cds_XP_011429578.1_13",340,"Q6F6B3",34,"TANC1_RAT","reviewed","Protein TANC1 (TPR domain, ankyrin-repeat and coiled-coil domain-containing protein 1)","Tanc1 Tanc","Rattus norvegicus (Rat)",1849,"TISSUE SPECIFICITY: Expressed in heart, lung, liver and kidney. Expressed in brain (at protein level). {ECO:0000269|PubMed:15673434}.","","DEVELOPMENTAL STAGE: Detected as early as postnatal day one with increasing expression levels through 20 weeks after birth.","LOC105329584"
"55","lcl|NW_011934520.1_cds_XP_011429578.1_13",222,"Q0VGY8",35,"TANC1_MOUSE","reviewed","Protein TANC1 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1)","Tanc1","Mus musculus (Mouse)",1856,"","","","LOC105329584"
"56","lcl|NW_011934520.1_cds_XP_011430737.1_12",405,"Q96MM6",29,"HS12B_HUMAN","reviewed","Heat shock 70 kDa protein 12B","HSPA12B C20orf60","Homo sapiens (Human)",686,"TISSUE SPECIFICITY: Highest expression in muscle and heart. Lower levels in liver and kidney. {ECO:0000269|PubMed:12552099}.","","","LOC105330380"
"57","lcl|NW_011934520.1_cds_XP_011430737.1_12",429,"Q9CZJ2",30,"HS12B_MOUSE","reviewed","Heat shock 70 kDa protein 12B","Hspa12b","Mus musculus (Mouse)",685,"TISSUE SPECIFICITY: Expressed most strongly in heart with little or no expression in other tissues. In the aorta, preferentially expressed in lesions. {ECO:0000269|PubMed:12552099}.","","","LOC105330380"
"58","lcl|NW_011934520.1_cds_XP_011430737.1_12",366,"Q8K0U4",28,"HS12A_MOUSE","reviewed","Heat shock 70 kDa protein 12A","Hspa12a Kiaa0417","Mus musculus (Mouse)",675,"TISSUE SPECIFICITY: Expressed most strongly in brain, kidney and heart with little or no expression in other tissues (PubMed:12552099). In the brain, expressed in glial cells, including astrocytes (at protein level) (PubMed:30679749). In the aorta, preferentially expressed in lesions (PubMed:12552099). {ECO:0000269|PubMed:12552099, ECO:0000269|PubMed:30679749}.","","","LOC105330380"
"59","lcl|NW_011934520.1_cds_XP_011430737.1_12",40,"O43301",27,"HS12A_HUMAN","reviewed","Heat shock 70 kDa protein 12A","HSPA12A KIAA0417","Homo sapiens (Human)",675,"TISSUE SPECIFICITY: Widely expressed with highest levels in brain, kidney and muscle. {ECO:0000269|PubMed:12552099}.","","","LOC105330380"
"60","lcl|NW_011934525.1_cds_XP_011432688.1_16",419,"Q9BE52",38,"CK5P2_MACFA","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","CDK5RAP2 QflA-15432","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",862,"","","","LOC105331694"
"61","lcl|NW_011934525.1_cds_XP_011432688.1_16",439,"Q9JLH5",40,"CK5P2_RAT","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","Cdk5rap2","Rattus norvegicus (Rat)",1903,"","","","LOC105331694"
"62","lcl|NW_011934525.1_cds_XP_011432688.1_16",372,"Q8K389",39,"CK5P2_MOUSE","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","Cdk5rap2 Kiaa1633","Mus musculus (Mouse)",1822,"TISSUE SPECIFICITY: Expressed in testis, thymus, heart and brain. {ECO:0000269|PubMed:20460369}.","","DEVELOPMENTAL STAGE: Detected in the developing cortex at 9.5 dpc. Expression peaks between 10.5 and 13.5 dpc, remains robust at 15.5 dpc and declines thereafter. This peak corresponds to periods of active neurogenesis. {ECO:0000269|PubMed:20460369, ECO:0000269|PubMed:20471352}.","LOC105331694"
"63","lcl|NW_011934525.1_cds_XP_011432688.1_16",246,"Q19UN5",36,"CK5P2_PANTR","reviewed","CDK5 regulatory subunit-associated protein 2","CDK5RAP2","Pan troglodytes (Chimpanzee)",1893,"","","","LOC105331694"
"64","lcl|NW_011934525.1_cds_XP_011432688.1_16",414,"Q96SN8",37,"CK5P2_HUMAN","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)","CDK5RAP2 CEP215 KIAA1633","Homo sapiens (Human)",1893,"TISSUE SPECIFICITY: Widely expressed. Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas. {ECO:0000269|PubMed:10721722}.","","","LOC105331694"
"65","lcl|NW_011934525.1_cds_XP_011433459.1_17",244,"Q19UN5",36,"CK5P2_PANTR","reviewed","CDK5 regulatory subunit-associated protein 2","CDK5RAP2","Pan troglodytes (Chimpanzee)",1893,"","","","LOC105331694"
"66","lcl|NW_011934525.1_cds_XP_011433459.1_17",420,"Q9BE52",38,"CK5P2_MACFA","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","CDK5RAP2 QflA-15432","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",862,"","","","LOC105331694"
"67","lcl|NW_011934525.1_cds_XP_011433459.1_17",411,"Q96SN8",37,"CK5P2_HUMAN","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)","CDK5RAP2 CEP215 KIAA1633","Homo sapiens (Human)",1893,"TISSUE SPECIFICITY: Widely expressed. Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas. {ECO:0000269|PubMed:10721722}.","","","LOC105331694"
"68","lcl|NW_011934525.1_cds_XP_011433459.1_17",367,"Q8K389",39,"CK5P2_MOUSE","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","Cdk5rap2 Kiaa1633","Mus musculus (Mouse)",1822,"TISSUE SPECIFICITY: Expressed in testis, thymus, heart and brain. {ECO:0000269|PubMed:20460369}.","","DEVELOPMENTAL STAGE: Detected in the developing cortex at 9.5 dpc. Expression peaks between 10.5 and 13.5 dpc, remains robust at 15.5 dpc and declines thereafter. This peak corresponds to periods of active neurogenesis. {ECO:0000269|PubMed:20460369, ECO:0000269|PubMed:20471352}.","LOC105331694"
"69","lcl|NW_011934525.1_cds_XP_011433459.1_17",437,"Q9JLH5",40,"CK5P2_RAT","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","Cdk5rap2","Rattus norvegicus (Rat)",1903,"","","","LOC105331694"
"70","lcl|NW_011934525.1_cds_XP_011434217.1_14",438,"Q9JLH5",40,"CK5P2_RAT","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","Cdk5rap2","Rattus norvegicus (Rat)",1903,"","","","LOC105331694"
"71","lcl|NW_011934525.1_cds_XP_011434217.1_14",242,"Q19UN5",36,"CK5P2_PANTR","reviewed","CDK5 regulatory subunit-associated protein 2","CDK5RAP2","Pan troglodytes (Chimpanzee)",1893,"","","","LOC105331694"
"72","lcl|NW_011934525.1_cds_XP_011434217.1_14",369,"Q8K389",39,"CK5P2_MOUSE","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","Cdk5rap2 Kiaa1633","Mus musculus (Mouse)",1822,"TISSUE SPECIFICITY: Expressed in testis, thymus, heart and brain. {ECO:0000269|PubMed:20460369}.","","DEVELOPMENTAL STAGE: Detected in the developing cortex at 9.5 dpc. Expression peaks between 10.5 and 13.5 dpc, remains robust at 15.5 dpc and declines thereafter. This peak corresponds to periods of active neurogenesis. {ECO:0000269|PubMed:20460369, ECO:0000269|PubMed:20471352}.","LOC105331694"
"73","lcl|NW_011934525.1_cds_XP_011434217.1_14",418,"Q9BE52",38,"CK5P2_MACFA","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","CDK5RAP2 QflA-15432","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",862,"","","","LOC105331694"
"74","lcl|NW_011934525.1_cds_XP_011434217.1_14",410,"Q96SN8",37,"CK5P2_HUMAN","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)","CDK5RAP2 CEP215 KIAA1633","Homo sapiens (Human)",1893,"TISSUE SPECIFICITY: Widely expressed. Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas. {ECO:0000269|PubMed:10721722}.","","","LOC105331694"
"75","lcl|NW_011934525.1_cds_XP_011434994.1_18",421,"Q9BE52",38,"CK5P2_MACFA","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","CDK5RAP2 QflA-15432","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",862,"","","","LOC105331694"
"76","lcl|NW_011934525.1_cds_XP_011434994.1_18",247,"Q19UN5",36,"CK5P2_PANTR","reviewed","CDK5 regulatory subunit-associated protein 2","CDK5RAP2","Pan troglodytes (Chimpanzee)",1893,"","","","LOC105331694"
"77","lcl|NW_011934525.1_cds_XP_011434994.1_18",415,"Q96SN8",37,"CK5P2_HUMAN","reviewed","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)","CDK5RAP2 CEP215 KIAA1633","Homo sapiens (Human)",1893,"TISSUE SPECIFICITY: Widely expressed. Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas. {ECO:0000269|PubMed:10721722}.","","","LOC105331694"
