"","X.x","Entry","X.y","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage","V2"
"114","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q5R8X6",53,"PLMN_PONAB","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",810,"","","","LOC105339572"
"115","lcl|NW_011934530.1_cds_XP_011443863.1_22","P20918",55,"PLMN_MOUSE","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Mus musculus (Mouse)",812,"","","","LOC105339572"
"116","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q01177",52,"PLMN_RAT","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Rattus norvegicus (Rat)",812,"","","","LOC105339572"
"117","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q01177",52,"PLMN_RAT","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Rattus norvegicus (Rat)",812,"","","","LOC105339572"
"118","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q5R8X6",53,"PLMN_PONAB","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",810,"","","","LOC105339572"
"119","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06867",54,"PLMN_PIG","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Sus scrofa (Pig)",809,"","","","LOC105339572"
"12","lcl|NW_011934501.1_cds_XP_011445785.1_3","Q5XIL3",7,"RPC3_RAT","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","Polr3c","Rattus norvegicus (Rat)",533,"","","","LOC105338483"
"120","lcl|NW_011934530.1_cds_XP_011443863.1_22","P20918",55,"PLMN_MOUSE","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Mus musculus (Mouse)",812,"","","","LOC105339572"
"121","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06867",54,"PLMN_PIG","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Sus scrofa (Pig)",809,"","","","LOC105339572"
"122","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06868",51,"PLMN_BOVIN","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Bos taurus (Bovine)",812,"","","","LOC105339572"
"123","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q5R8X6",53,"PLMN_PONAB","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",810,"","","","LOC105339572"
"124","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q01177",52,"PLMN_RAT","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Rattus norvegicus (Rat)",812,"","","","LOC105339572"
"125","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06868",51,"PLMN_BOVIN","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Bos taurus (Bovine)",812,"","","","LOC105339572"
"126","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06867",54,"PLMN_PIG","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Sus scrofa (Pig)",809,"","","","LOC105339572"
"127","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q5R8X6",53,"PLMN_PONAB","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",810,"","","","LOC105339572"
"128","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06868",51,"PLMN_BOVIN","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Bos taurus (Bovine)",812,"","","","LOC105339572"
"129","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06867",54,"PLMN_PIG","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Sus scrofa (Pig)",809,"","","","LOC105339572"
"13","lcl|NW_011934501.1_cds_XP_011445785.1_3","Q2TBL4",9,"RPC3_BOVIN","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","POLR3C","Bos taurus (Bovine)",533,"","","","LOC105338483"
"130","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q01177",52,"PLMN_RAT","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Rattus norvegicus (Rat)",812,"","","","LOC105339572"
"131","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06867",54,"PLMN_PIG","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Sus scrofa (Pig)",809,"","","","LOC105339572"
"132","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q01177",52,"PLMN_RAT","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Rattus norvegicus (Rat)",812,"","","","LOC105339572"
"133","lcl|NW_011934558.1_cds_XP_011426109.1_81","Q8QG78",117,"NCOR1_XENLA","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus laevis (African clawed frog)",2498,"","INDUCTION: By thyroid hormone in the developing intestine and tail. {ECO:0000269|PubMed:12446772}.","DEVELOPMENTAL STAGE: Expressed in the developing intestine both prior to and during remodeling (stages NF54 to NF66). Also expressed at high levels in the tail during tail regression (stages NF62 and NF64) and in the hindlimbs during hindlimb morphogenesis (stage NF56). {ECO:0000269|PubMed:12446772, ECO:0000269|PubMed:15060155}.","LOC105327345"
"134","lcl|NW_011934558.1_cds_XP_011426109.1_81","Q9Y618",118,"NCOR2_HUMAN","reviewed","Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)","NCOR2 CTG26","Homo sapiens (Human)",2514,"TISSUE SPECIFICITY: Ubiquitous. High levels of expression are detected in lung, spleen and brain.","INDUCTION: Regulated during cell cycle progression.","","LOC105327345"
"135","lcl|NW_011934558.1_cds_XP_011426109.1_81","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"136","lcl|NW_011934558.1_cds_XP_011426109.1_81","Q4KKX4",116,"NCOR1_XENTR","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2494,"","","","LOC105327345"
"137","lcl|NW_011934558.1_cds_XP_011426109.1_81","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"138","lcl|NW_011934558.1_cds_XP_011426109.1_81","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"139","lcl|NW_011934558.1_cds_XP_011426109.1_81","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"14","lcl|NW_011934501.1_cds_XP_011445785.1_3","Q9D483",8,"RPC3_MOUSE","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","Polr3c","Mus musculus (Mouse)",533,"","","","LOC105338483"
"140","lcl|NW_011934558.1_cds_XP_011426189.1_79","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"141","lcl|NW_011934558.1_cds_XP_011426189.1_79","Q8QG78",117,"NCOR1_XENLA","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus laevis (African clawed frog)",2498,"","INDUCTION: By thyroid hormone in the developing intestine and tail. {ECO:0000269|PubMed:12446772}.","DEVELOPMENTAL STAGE: Expressed in the developing intestine both prior to and during remodeling (stages NF54 to NF66). Also expressed at high levels in the tail during tail regression (stages NF62 and NF64) and in the hindlimbs during hindlimb morphogenesis (stage NF56). {ECO:0000269|PubMed:12446772, ECO:0000269|PubMed:15060155}.","LOC105327345"
"142","lcl|NW_011934558.1_cds_XP_011426189.1_79","Q9Y618",118,"NCOR2_HUMAN","reviewed","Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)","NCOR2 CTG26","Homo sapiens (Human)",2514,"TISSUE SPECIFICITY: Ubiquitous. High levels of expression are detected in lung, spleen and brain.","INDUCTION: Regulated during cell cycle progression.","","LOC105327345"
"143","lcl|NW_011934558.1_cds_XP_011426189.1_79","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"144","lcl|NW_011934558.1_cds_XP_011426189.1_79","Q4KKX4",116,"NCOR1_XENTR","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2494,"","","","LOC105327345"
"145","lcl|NW_011934558.1_cds_XP_011426189.1_79","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"146","lcl|NW_011934558.1_cds_XP_011426189.1_79","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"147","lcl|NW_011934558.1_cds_XP_011426269.1_78","Q8QG78",117,"NCOR1_XENLA","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus laevis (African clawed frog)",2498,"","INDUCTION: By thyroid hormone in the developing intestine and tail. {ECO:0000269|PubMed:12446772}.","DEVELOPMENTAL STAGE: Expressed in the developing intestine both prior to and during remodeling (stages NF54 to NF66). Also expressed at high levels in the tail during tail regression (stages NF62 and NF64) and in the hindlimbs during hindlimb morphogenesis (stage NF56). {ECO:0000269|PubMed:12446772, ECO:0000269|PubMed:15060155}.","LOC105327345"
"148","lcl|NW_011934558.1_cds_XP_011426269.1_78","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"149","lcl|NW_011934558.1_cds_XP_011426269.1_78","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"15","lcl|NW_011934501.1_cds_XP_011445785.1_3","Q7ZUX1",10,"RPC3_DANRE","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","polr3c zgc:56348","Danio rerio (Zebrafish) (Brachydanio rerio)",539,"","","","LOC105338483"
"150","lcl|NW_011934558.1_cds_XP_011426269.1_78","Q9Y618",118,"NCOR2_HUMAN","reviewed","Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)","NCOR2 CTG26","Homo sapiens (Human)",2514,"TISSUE SPECIFICITY: Ubiquitous. High levels of expression are detected in lung, spleen and brain.","INDUCTION: Regulated during cell cycle progression.","","LOC105327345"
"151","lcl|NW_011934558.1_cds_XP_011426269.1_78","Q4KKX4",116,"NCOR1_XENTR","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2494,"","","","LOC105327345"
"152","lcl|NW_011934558.1_cds_XP_011426269.1_78","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"153","lcl|NW_011934558.1_cds_XP_011426269.1_78","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"154","lcl|NW_011934558.1_cds_XP_011426352.1_77","Q4KKX4",116,"NCOR1_XENTR","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2494,"","","","LOC105327345"
"155","lcl|NW_011934558.1_cds_XP_011426352.1_77","Q9Y618",118,"NCOR2_HUMAN","reviewed","Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)","NCOR2 CTG26","Homo sapiens (Human)",2514,"TISSUE SPECIFICITY: Ubiquitous. High levels of expression are detected in lung, spleen and brain.","INDUCTION: Regulated during cell cycle progression.","","LOC105327345"
"156","lcl|NW_011934558.1_cds_XP_011426352.1_77","Q8QG78",117,"NCOR1_XENLA","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus laevis (African clawed frog)",2498,"","INDUCTION: By thyroid hormone in the developing intestine and tail. {ECO:0000269|PubMed:12446772}.","DEVELOPMENTAL STAGE: Expressed in the developing intestine both prior to and during remodeling (stages NF54 to NF66). Also expressed at high levels in the tail during tail regression (stages NF62 and NF64) and in the hindlimbs during hindlimb morphogenesis (stage NF56). {ECO:0000269|PubMed:12446772, ECO:0000269|PubMed:15060155}.","LOC105327345"
"157","lcl|NW_011934558.1_cds_XP_011426352.1_77","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"158","lcl|NW_011934558.1_cds_XP_011426352.1_77","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"159","lcl|NW_011934558.1_cds_XP_011426352.1_77","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"16","lcl|NW_011934512.1_cds_XP_011426108.1_6","P22984",11,"AMID_RHOER","reviewed","Amidase (EC 3.5.1.4)","amdA","Rhodococcus erythropolis (Arthrobacter picolinophilus)",521,"","","","LOC105327114"
"160","lcl|NW_011934558.1_cds_XP_011426352.1_77","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"161","lcl|NW_011934558.1_cds_XP_011426427.1_75","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"162","lcl|NW_011934558.1_cds_XP_011426427.1_75","Q8QG78",117,"NCOR1_XENLA","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus laevis (African clawed frog)",2498,"","INDUCTION: By thyroid hormone in the developing intestine and tail. {ECO:0000269|PubMed:12446772}.","DEVELOPMENTAL STAGE: Expressed in the developing intestine both prior to and during remodeling (stages NF54 to NF66). Also expressed at high levels in the tail during tail regression (stages NF62 and NF64) and in the hindlimbs during hindlimb morphogenesis (stage NF56). {ECO:0000269|PubMed:12446772, ECO:0000269|PubMed:15060155}.","LOC105327345"
"163","lcl|NW_011934558.1_cds_XP_011426427.1_75","Q60974",115,"NCOR1_MOUSE","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)","Ncor1 Rxrip13","Mus musculus (Mouse)",2453,"TISSUE SPECIFICITY: Ubiquitous.","","","LOC105327345"
"164","lcl|NW_011934558.1_cds_XP_011426427.1_75","Q9Y618",118,"NCOR2_HUMAN","reviewed","Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)","NCOR2 CTG26","Homo sapiens (Human)",2514,"TISSUE SPECIFICITY: Ubiquitous. High levels of expression are detected in lung, spleen and brain.","INDUCTION: Regulated during cell cycle progression.","","LOC105327345"
"165","lcl|NW_011934558.1_cds_XP_011426427.1_75","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"166","lcl|NW_011934558.1_cds_XP_011426427.1_75","Q4KKX4",116,"NCOR1_XENTR","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2494,"","","","LOC105327345"
"167","lcl|NW_011934558.1_cds_XP_011426504.1_76","Q8QG78",117,"NCOR1_XENLA","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus laevis (African clawed frog)",2498,"","INDUCTION: By thyroid hormone in the developing intestine and tail. {ECO:0000269|PubMed:12446772}.","DEVELOPMENTAL STAGE: Expressed in the developing intestine both prior to and during remodeling (stages NF54 to NF66). Also expressed at high levels in the tail during tail regression (stages NF62 and NF64) and in the hindlimbs during hindlimb morphogenesis (stage NF56). {ECO:0000269|PubMed:12446772, ECO:0000269|PubMed:15060155}.","LOC105327345"
"168","lcl|NW_011934558.1_cds_XP_011426504.1_76","Q4KKX4",116,"NCOR1_XENTR","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (xN-CoR)","ncor1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",2494,"","","","LOC105327345"
"169","lcl|NW_011934558.1_cds_XP_011426504.1_76","O75376",114,"NCOR1_HUMAN","reviewed","Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)","NCOR1 KIAA1047","Homo sapiens (Human)",2440,"","","","LOC105327345"
"17","lcl|NW_011934512.1_cds_XP_011426108.1_6","C4L690",15,"GATA_EXISA","reviewed","Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)","gatA EAT1b_0993","Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)",480,"","","","LOC105327114"
